Type,Rooms,Size,Location,Zip code,Price,Region,Bedrooms,Bathrooms,Equipped kitchen,Terrace/Balcony,Parking space,Ground,Garage,Pool,Cellar,Construction date,Construction materials,Website
Appartement,2 pièces,45,Torcy- Torcy 2,77200,189 000,ile-de-france,1,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-torcy-77200-4306-009054-670/
Maison,5 pièces,112,Pommeuse,77515,329 000,ile-de-france,4,2,No,No,0,836,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-pommeuse-77515-3324-012062-049/
Maison,4 pièces,120,Menucourt,95180,315 000,ile-de-france,3,1,No,No,0,757,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-menucourt-95180-2517-bocaly-prudhomme-084042-578/
Maison,5 pièces,114,Marly-la-Ville,95670,299 900,ile-de-france,4,1,No,No,0,309,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-marly-la-ville-95670-4882-010065-139/
Appartement,4 pièces,81,Trappes- Jean Macé,78190,249 900,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-trappes-78190-517-behloul-vendu-007085-759/
Maison,5 pièces,127,Saint-Maur-des-Fossés- Parc de Saint-Maur,94100,1 050 000,ile-de-france,4,1,No,No,0,893,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-saint-maur-des-fosses-94100-584-003045-168/
Maison,5 pièces,82,Ivry-sur-Seine- Monmousseau - Verollot,94200,460 000,ile-de-france,4,,No,No,0,300,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-ivry-sur-seine-94200-467-002102-055/
Appartement,1 pièce,48,Arcueil- Jean Macé,94110,241 000,ile-de-france,1,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-arcueil-94110-2048-002068-147/
Appartement,2 pièces,53,Paris 14- Alésia,75014,545 000,ile-de-france,1,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-14-75014-2006-002068-899/
Appartement,3 pièces,82,Gif-sur-Yvette- Centre-ville - Mérantaise,91190,598 000,ile-de-france,2,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-gif-sur-yvette-91190-3236-098922-404/
Appartement,2 pièces,66,Le Chesnay- Glatigny - Rueil,78150,266 000,ile-de-france,2,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-le-chesnay-78150-4884-007077-008/
Appartement,3 pièces,70,Versailles- Notre Dame,78000,499 000,ile-de-france,2,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-versailles-78000-4908-007077-112/
Appartement,6 pièces,137,Versailles- Montreuil,78000,967 000,ile-de-france,5,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t6-versailles-78000-4989-007920-334/
Appartement,3 pièces,98,Charenton-le-Pont- Plateau de Gravelle,94220,932 500,ile-de-france,3,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-charenton-le-pont-94220-629-006084-328/
Appartement,1 pièce,47,Saint-Maurice- Ecluse,94410,330 000,ile-de-france,1,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-saint-maurice-94410-633-006084-233/
Appartement,4 pièces,96,Joinville-le-Pont- Centre-ville,94340,727 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-joinville-le-pont-94340-601-006084-975/
Maison,7 pièces,360,Saint-Maurice- Plateau,94410,2 691 000,ile-de-france,5,2,No,No,0,742,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t7-saint-maurice-94410-589-006084-995/
Appartement,1 pièce,44,Charenton-le-Pont- Bercy,94220,280 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-charenton-le-pont-94220-618-006084-186/
Appartement,4 pièces,93,Issy-les-Moulineaux- Centre-ville - Mairie d'Issy,92130,895 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-issy-les-moulineaux-92130-11821-002011-420/
Maison,6 pièces,123,Versailles- Porchefontaine,78000,760 000,ile-de-france,5,1,No,No,0,115,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-versailles-78000-4953-007920-616/
Appartement,4 pièces,87,Versailles- Clagny Glatigny,78000,575 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-versailles-78000-4899-007920-962/
Appartement,4 pièces,86,Versailles- Clagny Glatigny,78000,498 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-versailles-78000-4902-007920-154/
Appartement,3 pièces,85,Le Chesnay- Pré-Vert,78150,399 000,ile-de-france,3,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-le-chesnay-78150-4965-007077-679/
Appartement,4 pièces,103,Paris 12- Nation - Picpus,75012,1 100 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-paris-12-75012-486-006070-545/
Appartement,4 pièces,87,Paris 20- Porte de Montreuil,75020,530 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-paris-20-75020-465-006070-030/
Appartement,4 pièces,118,Paris 12- Bel-Air,75012,1 100 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-paris-12-75012-480-006070-415/
Appartement,4 pièces,84,Paris 19- Pyrénées - Belleville,75019,640 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-422-006070-216/
Maison,4 pièces,75,Saint-Ouen-l'Aumône- Epluches,95310,269 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-saint-ouen-l-aumone-95310-654-084034-811/
Appartement,4 pièces,79,Eaubonne- Andilly,95600,186 500,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-eaubonne-95600-626-084034-988/
Maison,6 pièces,140,Pontault-Combault- Le Bouquet,77340,675 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-pontault-combault-77340-42-009086-436/
Appartement,3 pièces,90,Gentilly- Val de Bièvre,94250,459 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-gentilly-94250-6638-002106-031/
Appartement,4 pièces,88,Montrouge- Piscine,92120,665 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-montrouge-92120-370-002108-039/
Appartement,2 pièces,66,Nanterre- Parc Nord,92000,568 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-nanterre-92000-4983-002063-563/
Appartement,2 pièces,56,Menucourt,95180,139 900,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-menucourt-95180-2489-084042-624/
Appartement,2 pièces,90,Paris 16- Auteuil,75016,1 030 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-16-75016-1174-006053-604/
Appartement,2 pièces,100,Paris 16- Porte de Saint-Cloud,75016,998 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-16-75016-1179-006053-532/
Appartement,2 pièces,67,Paris 16- Bois de Boulogne - Hippodrome,75016,718 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-16-75016-1180-006053-430/
Appartement,3 pièces,79,Saint-Michel-sur-Orge- Bois des Roches,91240,155 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8675-098919-252/
Appartement,3 pièces,82,Saint-Michel-sur-Orge- Bois des Roches,91240,159 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8662-098919-996/
Appartement,4 pièces,76,Saint-Michel-sur-Orge- Bois des Roches,91240,165 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-saint-michel-sur-orge-91240-8607-098919-476/
Appartement,3 pièces,82,Saint-Michel-sur-Orge- Bois des Roches,91240,172 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8707-098919-736/
Appartement,2 pièces,48,Saint-Michel-sur-Orge- Lormoy - Vallée de l'Orge,91240,190 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-saint-michel-sur-orge-91240-8626-098919-860/
Appartement,3 pièces,81,Saint-Michel-sur-Orge- Bois des Roches,91240,215 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8658-098919-085/
Maison,6 pièces,143,Chaussy,95710,280 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-chaussy-95710-361-ind-nivard-084049-980/
Appartement,3 pièces,65,Cergy- Axe Majeur - Horloge,95800,195 767,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-cergy-95800-7689-084031-695/
Appartement,3 pièces,102,Saint-Michel-sur-Orge- Villagexpo - Descartes,91240,250 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8689-098919-412/
Appartement,1 pièce,53,Paris 15- Balard,75015,443 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-paris-15-75015-1493-002071-666/
Appartement,4 pièces,114,Chaville- Rive Droite - Les Vignes,92370,625 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-chaville-92370-919-007084-015/
Maison,4 pièces,95,Saint-Michel-sur-Orge- Fontaine de l’Orme,91240,298 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-saint-michel-sur-orge-91240-8653-098919-512/
Appartement,3 pièces,59,Paris 15- Saint-Lambert,75015,566 500,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-paris-15-75015-1546-002071-263/
Appartement,5 pièces,133,Dammarie-les-Lys- La Plaine du Lys,77190,185 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t5-dammarie-les-lys-77190-3113-012080-948/
Appartement,3 pièces,50,Montrouge- Centre-Ville,92120,375 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-montrouge-92120-6620-002106-787/
Appartement,2 pièces,64,Sainte-Geneviève-des-Bois- Liers - Croix Blanche,91700,298 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-sainte-genevieve-des-bois-91700-8639-098019-371/
Maison,5 pièces,125,Corbeil-Essonnes- Centre-ville,91100,295 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-corbeil-essonnes-91100-1864-098062-900/
Maison,5 pièces,117,Saint-Michel-sur-Orge- Fontaine de l’Orme,91240,345 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-saint-michel-sur-orge-91240-8655-098919-067/
Appartement,3 pièces,78,Combs-la-Ville- Gare,77380,289 465,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-combs-la-ville-77380-3796-009056-105/
Maison,6 pièces,126,Marolles-en-Brie,94440,449 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-marolles-en-brie-94440-3715-009056-431/
Appartement,2 pièces,48,Meudon- Centre-ville,92190,295 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-meudon-92190-968-002930-510/
Appartement,3 pièces,81,Malakoff- Nord - Maison de la Vie Associative - Léger - Cogniot,92240,520 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-malakoff-92240-f26c3219-a2d7-4bf8-9f9f-aa3135113893/
Appartement,4 pièces,90,Meudon- Centre-ville,92190,499 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-meudon-92190-916-002930-540/
Maison,13 pièces,145,Vitry-sur-Seine- Port à l'Anglais - Zone d'activité,94400,730 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t13-vitry-sur-seine-94400-486-002102-966/
Appartement,2 pièces,65,Paris 14- Porte de Vanves,75014,520 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-14-75014-6634-002106-937/
Appartement,3 pièces,61,Meudon- Centre-ville,92190,375 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-meudon-92190-952-marty-chereau-002930-665/
Appartement,3 pièces,70,Saint-Michel-sur-Orge- Lormoy - Vallée de l'Orge,91240,232 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8638-098919-274/
Maison,3 pièces,55,Tremblay-en-France- Le Bois Saint-Denis,93290,215 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t3-tremblay-en-france-93290-1095-010071-570/
Maison,5 pièces,103,Saint-Martin-la-Garenne,78520,250 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-saint-martin-la-garenne-78520-3169-007069-191/
Appartement,3 pièces,59,Mantes-la-Ville- Louise Michel,78711,189 900,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-mantes-la-ville-78711-3100-007069-514/
Appartement,3 pièces,54,Mantes-la-Ville- Merisiers - Plaisances - Belles Lances,78711,161 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-mantes-la-ville-78711-3149-007069-195/
Appartement,2 pièces,45,Mantes-la-Jolie- Bords de Seine,78200,153 700,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-mantes-la-jolie-78200-3094-007069-444/
Appartement,3 pièces,60,Mantes-la-Ville- Louise Michel,78711,120 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-mantes-la-ville-78711-3096-007069-182/
Appartement,1 pièce,41,Saint-Ouen- Rosiers - Les Puces,93400,215 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-saint-ouen-93400-2863-claux-006048-939/
Maison,5 pièces,107,Trilport,77470,250 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-trilport-77470-11614-012067-215/
Appartement,1 pièce,43,Paris 17- Guy Moquet,75017,325 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-paris-17-75017-2856-naget-006048-353/
Appartement,3 pièces,103,Boulogne-Billancourt- Château - Les Princes Marmottan,75016,790 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-boulogne-billancourt-75016-2906-miherre-marchand-006048-547/
Maison,4 pièces,115,Meaux- Frot - Clémenceau - Saint-Faron,77100,341 250,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-meaux-77100-499-012078-766/
Maison,1 pièce,65,Dhuisy,77440,87 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t1-dhuisy-77440-11523-012067-457/
Appartement,2 pièces,77,Paris 11- Oberkampf - Saint-Maur,75011,795 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-11-75011-2894-006914-183/
Appartement,3 pièces,75,Paris 11- Père Lachaise - Folie-Regnault,75011,730 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-paris-11-75011-2898-006914-693/
Maison,6 pièces,110,Cergy- Axe Majeur - Horloge,95800,359 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-cergy-95800-7755-084031-170/
Appartement,3 pièces,70,Crosne,91560,159 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-crosne-91560-871-098918-216/
Appartement,3 pièces,70,Crosne,91560,159 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-crosne-91560-870-098918-639/
Appartement,2 pièces,61,Montigny-le-Bretonneux- Les Prés,78180,212 100,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-montigny-le-bretonneux-78180-593-007085-371/
Appartement,3 pièces,65,Massy- Atlantis - Champs Ronds,91300,295 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-massy-91300-502-098059-108/
Maison,5 pièces,115,Villeneuve-Saint-Georges- Fort,94190,290 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-villeneuve-saint-georges-94190-874-098918-539/
Appartement,3 pièces,74,Crosne,91560,199 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-crosne-91560-888-098918-891/
Appartement,2 pièces,44,Crosne,91560,164 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-crosne-91560-912-098918-820/
Maison,4 pièces,79,Cachan- Ouest Nord,94230,700 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-cachan-94230-616-002101-690/
Appartement,5 pièces,115,Paris 15- Balard,75015,895 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t5-paris-15-75015-1538-002071-749/
Appartement,3 pièces,66,Villeparisis- La Poste - Centre culturel,77270,149 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-villeparisis-77270-2589-010048-346/
Maison,6 pièces,124,Villeparisis- La Poste - Centre culturel,77270,329 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-villeparisis-77270-2603-010048-831/
Appartement,3 pièces,57,Villeparisis- Le Vieux Pays - Bois Fleuri,77270,154 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-villeparisis-77270-2612-010048-716/
Appartement,4 pièces,79,Crosne,91560,179 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-crosne-91560-907-098918-017/
Maison,3 pièces,75,Crosne,91560,319 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t3-crosne-91560-855-098918-252/
Maison,4 pièces,71,Crosne,91560,269 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-crosne-91560-918-098918-161/
Appartement,5 pièces,85,Yerres- Gambetta - Brossolette - Belvédère,91330,199 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t5-yerres-91330-909-098918-338/
Appartement,2 pièces,52,Crosne,91560,189 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-crosne-91560-923-098918-230/
Maison,6 pièces,173,Yerres- Grosbois - Sablière - Mare-Armée,91330,750 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-yerres-91330-20551-098906-103/
Appartement,4 pièces,83,Pontoise- Marcouville,95300,159 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-pontoise-95300-5462-084033-751/
Maison,7 pièces,152,Boussy-Saint-Antoine,91800,470 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t7-boussy-saint-antoine-91800-20353-098906-245/
Appartement,4 pièces,81,Yerres- Bout du Monde - Camaldules - Abbaye,91330,265 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-yerres-91330-880-098918-047/
Maison,6 pièces,213,Crosne,91560,579 990,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-crosne-91560-868-098918-436/
Appartement,3 pièces,58,Crosne,91560,239 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-crosne-91560-845-098918-079/
Appartement,2 pièces,62,Cergy- Axe Majeur - Horloge,95800,180 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-cergy-95800-7738-furlin-084031-178/
Appartement,3 pièces,62,Yerres- Centre-ville - Bellevue,91330,227 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-yerres-91330-725-098918-190/
Appartement,4 pièces,87,Crosne,91560,238 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-crosne-91560-904-098918-431/
Appartement,3 pièces,68,Crosne,91560,187 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-crosne-91560-921-098918-079/
Appartement,3 pièces,60,Vauréal- Groues - Toupets - Longues Terres,95490,209 900,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-vaureal-95490-7713-guest-et-de-sousa-barreiro-084031-559/
Maison,4 pièces,105,Champigny-sur-Marne- Le Plateau,94500,472 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-champigny-sur-marne-94500-2627-003039-570/
Appartement,2 pièces,50,Taverny- Les Lignières - Mermoz - Les Ecouardes,95150,192 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-taverny-95150-8156-084047-420/
Appartement,2 pièces,41,Cergy- Les Hauts-de-Cergy,95800,165 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-cergy-95800-7764-084031-890/
Appartement,3 pièces,77,Cergy- Coteaux,95000,265 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-cergy-95000-7760-084031-863/
Appartement,3 pièces,57,Taverny- Les Lignières - Mermoz - Les Ecouardes,95150,169 990,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-taverny-95150-8150-084047-335/
Appartement,4 pièces,83,Taverny- Sarments - Vaucelles,95150,215 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-taverny-95150-8151-084047-482/
Maison,4 pièces,107,Juziers,78820,283 500,ile-de-france,3,1,No,No,0,537,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-juziers-78820-2717-007055-301/
Maison,3 pièces,72,Méry-sur-Oise,95540,330 000,ile-de-france,2,1,No,No,0,600,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t3-mery-sur-oise-95540-8148-084047-334/
Maison,5 pièces,89,Bouffémont,95570,335 000,ile-de-france,4,1,No,No,0,182,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-bouffemont-95570-1340-084025-686/
Maison,6 pièces,125,Beaumont-sur-Oise,95260,245 000,ile-de-france,4,,No,No,0,108,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t6-beaumont-sur-oise-95260-339-084051-852/
Maison,4 pièces,72,Ézanville,95460,290 000,ile-de-france,3,1,No,No,0,466,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-ezanville-95460-1372-084025-506/
Maison,4 pièces,92,Sainte-Geneviève-des-Bois- Hôtel de Ville,91700,385 000,ile-de-france,3,,No,No,0,381,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-sainte-genevieve-des-bois-91700-8680-098019-874/
Appartement,2 pièces,42,Villiers-sur-Orge,91700,150 000,ile-de-france,1,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-villiers-sur-orge-91700-8666-098019-000/
Appartement,3 pièces,75,Saint-Michel-sur-Orge- Bois des Roches,91240,149 000,ile-de-france,2,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-saint-michel-sur-orge-91240-8702-098019-077/
Maison,5 pièces,290,Épinay-sur-Orge,91360,850 000,ile-de-france,4,1,No,No,0,1305,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-epinay-sur-orge-91360-8660-098019-426/
Appartement,2 pièces,42,Puteaux- Pressensé - Rives de Seine,92800,330 000,ile-de-france,1,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-puteaux-92800-700-127004-422/
Appartement,2 pièces,43,Montlhéry,91310,160 000,ile-de-france,1,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-montlhery-91310-3699-098023-859/
Appartement,4 pièces,68,Paris 19- Laumière,75019,580 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-1876-006097-222/
Appartement,2 pièces,45,Paris 19- Buttes Chaumont - Jourdain,75019,420 000,ile-de-france,1,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-19-75019-396-006070-904/
Appartement,3 pièces,66,Paris 19- Pyrénées - Belleville,75019,640 000,ile-de-france,2,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-paris-19-75019-485-006070-192/
Maison,4 pièces,78,Fosses,95470,238 000,ile-de-france,3,,No,No,0,150,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-fosses-95470-4859-010065-247/
Appartement,3 pièces,68,Paris 20- Gambetta - Pyrénées,75020,610 000,ile-de-france,2,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-paris-20-75020-483-006070-084/
Appartement,4 pièces,110,Paris 19- La Villette - Porte de Pantin,75019,850 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-489-006070-053/
Appartement,3 pièces,70,Montrouge- Haut Mesnil,92120,397 100,ile-de-france,2,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-montrouge-92120-123-002110-988/
Appartement,3 pièces,67,Montrouge- Haut Mesnil,92120,388 000,ile-de-france,2,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-montrouge-92120-130-002110-035/
Appartement,2 pièces,78,Clichy- Centre-ville,92110,486 500,ile-de-france,2,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-clichy-92110-1405-127903-366/
